,cpi_fah,rdi_adj,home_price,grocery_sales_lag1,covid1,covid2,grocery_sales,grocery_sales_fcst,grocery_sales_se_obs,lower_bound,upper_bound,Actual YOY %,Forecast YOY %,Actual YOY Change,Forecast YOY Change
2018-01-01,239.854,14886.6,196.101,55885.0,0,0,55336.0,55476.32798535854,555.8100632170881,54386.94026145305,56565.715709264034,3.7887313376847365,4.575157199478408,2020.0,2427.0862046010297
2018-02-01,239.187,14921.1,196.891,55336.0,0,0,55555.0,55183.353012921885,554.755210481863,54096.032800377434,56270.67322546634,3.4794270493788026,3.70222867748784,1868.0,1970.0771588983698
2018-03-01,239.149,14974.8,198.558,55555.0,0,0,55716.0,55389.24410607615,554.9398483283749,54301.562003352534,56476.92620879976,2.95470924108876,3.44094986094281,1599.0,1842.5160640998147
2018-04-01,239.541,15007.2,200.597,55716.0,0,0,55859.0,55572.376807916604,554.8510923774896,54484.868666856724,56659.88494897648,3.0627871362940207,3.1719433261409247,1660.0,1708.530672689165
2018-05-01,238.884,15057.8,202.43400000000003,55859.0,0,0,55897.0,55694.55957221445,555.1888350131591,54606.38945558866,56782.72968884024,2.906955337089001,2.9864922197928134,1579.0,1615.0794658800805
2018-06-01,239.048,15119.3,204.026,55897.0,0,0,55696.0,55822.49219943806,555.0470917770679,54734.599899555,56910.38449932111,2.8512335647806086,3.081214886877981,1544.0,1668.5978543839738
2018-07-01,239.565,15184.7,204.935,55696.0,0,0,56057.0,55836.849477030584,554.7360197751134,54749.56687827136,56924.13207578981,3.542732595725817,3.1010321770374993,1918.0,1679.438733410032
2018-08-01,239.795,15238.6,205.313,56057.0,0,0,55937.0,56119.13114329581,555.0013088274626,55031.32857799398,57206.93370859764,2.7686937350725804,3.5838074534244146,1507.0,1941.6177626167846
2018-09-01,239.967,15237.5,205.359,55937.0,0,0,56177.0,56064.05418942491,554.8666638676247,54976.51552824437,57151.592850605455,2.1177197702319406,3.096804552787913,1165.0,1684.0426724638455
2018-10-01,239.558,15274.1,205.354,56177.0,0,0,56408.0,56211.58470929499,555.2464765586797,55123.30161523998,57299.867803350004,2.188405797101445,2.6422982824050756,1208.0,1447.042556665925
2018-11-01,240.227,15315.2,205.092,56408.0,0,0,56569.0,56426.85502030408,555.3282675186874,55338.41161596745,57515.29842464071,2.4077191839099177,2.7916879644442893,1330.0,1532.4796698164355
2018-12-01,241.137,15506.5,204.681,56569.0,0,0,56629.0,56793.611477365914,555.8049448891919,55704.2337853831,57882.98916934873,1.3313053592198365,3.2954295861971072,744.0,1811.8841106451437
