,cpi_fah,rdi_adj,home_price,covid1,covid2,grocery_sales,y_fitted,residuals,y_forecast,actual_and_forecast,fitted_and_forecast,grocery_sales_lag1,y_fitted_ar,residuals_ar,y_forecast_ar
2012-04-01,231.397,13116.5,138.466,0,0,46542.0,46741.46098500641,199.460985006408,,46542.0,46741.46098500641,46457.0,46622.0497519777,80.04975197769818,
2012-05-01,231.32,13112.5,141.043,0,0,46536.0,46793.728747706744,257.7287477067439,,46536.0,46793.728747706744,46542.0,46693.569820009354,157.56982000935386,
2012-06-01,231.713,13097.2,143.166,0,0,46554.0,46850.3934008716,296.39340087160235,,46554.0,46850.3934008716,46536.0,46715.46852097311,161.46852097311057,
2012-07-01,231.658,12999.8,144.281,0,0,46631.0,46565.315951714314,-65.684048285686,,46631.0,46565.315951714314,46554.0,46596.84620443249,-34.153795567508496,
2012-08-01,231.853,12961.6,144.704,0,0,46735.0,46477.728168650836,-257.27183134916413,,46735.0,46477.728168650836,46631.0,46599.61066698438,-135.38933301562065,
2012-09-01,231.789,13053.1,144.355,0,0,46820.0,46752.38197618806,-67.61802381194138,,46820.0,46752.38197618806,46735.0,46781.6298503344,-38.370149665599456,
2012-10-01,232.398,13142.0,143.96200000000002,0,0,47101.0,47094.01369287404,-6.986307125960593,,47101.0,47094.01369287404,46820.0,46981.932089477334,-119.06791052266635,
2012-11-01,232.883,13315.7,143.953,0,0,46986.0,47703.08777721868,717.0877772186795,,46986.0,47703.08777721868,47101.0,47412.32270780789,426.3227078078926,
2012-12-01,233.374,13642.7,143.86,0,0,46879.0,48799.53231097619,1920.5323109761885,,46879.0,48799.53231097619,46986.0,47843.44346580873,964.4434658087266,
2013-01-01,233.696,12845.5,144.305,0,0,46963.0,46305.47868020574,-657.5213197942576,,46963.0,46305.47868020574,46879.0,46655.19142469623,-307.8085753037667,
2013-02-01,233.526,12813.9,145.157,0,0,47444.0,46209.7236546113,-1234.2763453887019,,47444.0,46209.7236546113,46963.0,46659.0306272585,-784.9693727414997,
2013-03-01,233.58,12852.1,147.957,0,0,47382.0,46417.909880596504,-964.0901194034959,,47382.0,46417.909880596504,47444.0,47020.56695601249,-361.43304398751206,
2013-04-01,233.776,12893.4,150.967,0,0,46955.0,46658.14735587904,-296.8526441209615,,46955.0,46658.14735587904,47382.0,47095.056845686726,140.05684568672586,
2013-05-01,233.184,12954.2,153.857,0,0,47492.0,46867.55182267888,-624.4481773211228,,47492.0,46867.55182267888,46955.0,46954.770110993915,-537.2298890060847,
2013-06-01,233.809,12955.7,156.423,0,0,47481.0,47016.88271676996,-464.11728323004354,,47481.0,47016.88271676996,47492.0,47319.45955195634,-161.54044804366276,
2013-07-01,233.893,12941.8,158.281,0,0,47735.0,47035.28721375686,-699.7127862431371,,47735.0,47035.28721375686,47481.0,47321.89242509554,-413.1075749044612,
2013-08-01,234.073,12969.6,159.388,0,0,47908.0,47176.14677734102,-731.8532226589814,,47908.0,47176.14677734102,47735.0,47526.388498996224,-381.61150100377563,
2013-09-01,234.04,13027.5,159.668,0,0,47970.0,47365.13716733562,-604.8628326643811,,47970.0,47365.13716733562,47908.0,47708.004639354054,-261.99536064594577,
2013-10-01,234.219,12974.6,159.554,0,0,48130.0,47213.45489546171,-916.545104538287,,48130.0,47213.45489546171,47970.0,47673.37214074038,-456.6278592596209,
2013-11-01,234.144,12998.9,159.364,0,0,48185.0,47277.01330918857,-907.9866908114273,,48185.0,47277.01330918857,48130.0,47791.02354391979,-393.97645608020684,
